Total	Pool	Subtotal	Name	Amount	% of total	Start at Nth day	`start_at` (seconds)	Interval (days)	`interval` (seconds)	Duration (days)	`duration` (seconds)	Cliff %	`cliff` (SIENNA)	Regular portions	Portion size	Allocation	Address	Remainder
10,000,000		10,000,000																
➥	Investors	2,000,000			20.00%													
		➥	InvestorN	2,000,000	20.00%	180	15552000	1	86400	480	41472000	0.00%	0	480	4166		secret1TODO10xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	320
													 					
➥	Founders	2,400,000			24.00%													
		➥	Founder1	800,000	8.00%	180	15552000	1	86400	481	41558400	10.00%	80000	480	1500		secret1TODO20xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	0
		➥	Founder2	800,000	8.00%	180	15552000	1	86400	481	41558400	10.00%	80000	480	1500		secret1TODO21xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	0
		➥	Founder3	731,000	7.31%	180	15552000	1	86400	481	41558400	10.00%	73100	480	1370		secret1TODO22xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	300
		➥	Founder4	69,000	0.69%	180	15552000	1	86400	481	41558400	10.00%	6900	480	129		secret1TODO23xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	180
			Iu															
➥	DevFund	1,500,000			15.00%													
		➥	DevN	1,500,000	15.00%	120	10368000	30	2592000	600	51840000	5.00%	75000	19	75000		secret1TODO30xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	0
																		
➥	Advisors	200,000			2.00%													
		➥	Advisor1	50,000	0.50%	180	15552000	1	86400	480	41472000	0.00%	0	480	104		secret1TODO40xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	80
		➥	Advisor2	50,000	0.50%	180	15552000	1	86400	480	41472000	0.00%	0	480	104		secret1TODO41xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	80
		➥	Advisor3	10,000	0.10%	180	15552000	1	86400	180	15552000	0.00%	0	180	55		secret1TODO42xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	100
		➥	Advisor4	5,000	0.05%	180	15552000	1	86400	480	41472000	0.00%	0	480	10		secret1TODO43xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	200
		➥	AdvisorN	85,000	0.85%	0	0	0	0								secret1TODO44xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	
																		
➥	MintingPool	3,900,000			39.00%													
		➥	LiqProvFund	300,000	3.00%	0	0	0	0								secret1TODO50xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	
		➥	PoolRem	3,600,000	36.00%	0	0	1	86400	1440	124416000	0.00%	0	1440	2500			0
															➥	1250	secret1TODO51xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	
															➥	750	secret1TODO52xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	
															➥	500	secret1TODO53xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx	
